surface	dialect	category	stress_index	phonemes	source	note
# ===== 外来語 (loanword) =====
# --- 英語由来 ---
football	*	loanword	-1	f u t|b o l	manual	English loanword
weekend	*	loanword	-1	w i k|ɛ̃ d	manual	English loanword
shopping	*	loanword	-1	ʃ ɔ|p i ŋ	manual	English loanword
parking	*	loanword	-1	p a ʁ|k i ŋ	manual	English loanword
interview	*	loanword	-1	ɛ̃|t ɛ ʁ|v j u	manual	English loanword
rugby	*	loanword	-1	ʁ y ɡ|b i	manual	English loanword
sandwich	*	loanword	-1	s ɑ̃ d|w i ʃ	manual	English loanword
business	*	loanword	-1	b i z|n ɛ s	manual	English loanword
email	*	loanword	-1	i|m ɛ l	manual	English loanword
meeting	*	loanword	-1	m i|t i ŋ	manual	English loanword
marketing	*	loanword	-1	m a ʁ|k ə|t i ŋ	manual	English loanword
design	*	loanword	-1	d ə|z a j n	manual	English loanword
manager	*	loanword	-1	m a|n a|ʒ ɛ ʁ	manual	English loanword adapted
leader	*	loanword	-1	l i|d ɛ ʁ	manual	English loanword
team	*	loanword	-1	t i m	manual	English loanword
coach	*	loanword	-1	k o t ʃ	manual	English loanword
sport	*	loanword	-1	s p ɔ ʁ	manual	English loanword
golf	*	loanword	-1	ɡ ɔ l f	manual	English loanword
tennis	*	loanword	-1	t ɛ|n i s	manual	English loanword
surf	*	loanword	-1	s œ ʁ f	manual	English loanword
jazz	*	loanword	-1	d ʒ a z	manual	English loanword
rock	*	loanword	-1	ʁ ɔ k	manual	English loanword
pop	*	loanword	-1	p ɔ p	manual	English loanword
rap	*	loanword	-1	ʁ a p	manual	English loanword
film	*	loanword	-1	f i l m	manual	English loanword
star	*	loanword	-1	s t a ʁ	manual	English loanword
show	*	loanword	-1	ʃ o	manual	English loanword
clip	*	loanword	-1	k l i p	manual	English loanword
blog	*	loanword	-1	b l ɔ ɡ	manual	English loanword
web	*	loanword	-1	w ɛ b	manual	English loanword
site	*	loanword	-1	s i t	manual	English loanword
tchat	*	loanword	-1	t ʃ a t	manual	English loanword (tchat is French spelling)
post	*	loanword	-1	p o s t	manual	English loanword
tweet	*	loanword	-1	t w i t	manual	English loanword
like	*	loanword	-1	l a j k	manual	English loanword
selfie	*	loanword	-1	s ɛ l|f i	manual	English loanword
hamburger	*	loanword	-1	ɑ̃|b u ʁ|ɡ ɛ ʁ	manual	English loanword
hot-dog	*	loanword	-1	ɔ t|d ɔ ɡ	manual	English loanword
