surface	dialect	category	stress_index	phonemes	notes
# ===== 開/閉母音の不規則語 (open_close_vowel) =====
# --- /ɛ/ 開母音 e 系列 ---
belo	*	open_close_vowel	0	b ɛ|l u	bonito, /ɛ/ aberto
cedo	*	open_close_vowel	0	s ɛ|d u	cedo, /ɛ/ aberto
selo	*	open_close_vowel	0	s ɛ|l u	selo (carimbo), /ɛ/ aberto
mega	*	open_close_vowel	0	m ɛ|ɡ ɐ	mega (prefixo), /ɛ/ aberto
peca	*	open_close_vowel	0	p ɛ|k ɐ	peca (de teatro), /ɛ/ aberto
seta	*	open_close_vowel	0	s ɛ|t ɐ	seta, /ɛ/ aberto
tela	*	open_close_vowel	0	t ɛ|l ɐ	tela, /ɛ/ aberto
vela	*	open_close_vowel	0	v ɛ|l ɐ	vela, /ɛ/ aberto
meta	*	open_close_vowel	0	m ɛ|t ɐ	meta, /ɛ/ aberto
seca	*	open_close_vowel	0	s ɛ|k ɐ	seca (adj/subst), /ɛ/ aberto
ela	*	open_close_vowel	0	ɛ|l ɐ	ela (pronome), /ɛ/ aberto
bela	*	open_close_vowel	0	b ɛ|l ɐ	bela, /ɛ/ aberto
neta	*	open_close_vowel	0	n ɛ|t ɐ	neta, /ɛ/ aberto
pena	*	open_close_vowel	0	p ɛ|n ɐ	pena (pluma/castigo), /ɛ/ aberto
pedra	*	open_close_vowel	0	p ɛ|d ɾ ɐ	pedra, /ɛ/ aberto
terra	*	open_close_vowel	0	t ɛ|ʁ ɐ	terra, /ɛ/ aberto
guerra	*	open_close_vowel	0	ɡ ɛ|ʁ ɐ	guerra, /ɛ/ aberto
serra	*	open_close_vowel	0	s ɛ|ʁ ɐ	serra, /ɛ/ aberto
letra	*	open_close_vowel	0	l ɛ|t ɾ ɐ	letra, /ɛ/ aberto
festa	*	open_close_vowel	0	f ɛ s|t ɐ	festa, /ɛ/ aberto
cesta	*	open_close_vowel	0	s ɛ s|t ɐ	cesta, /ɛ/ aberto
cresta	*	open_close_vowel	0	k ɾ ɛ s|t ɐ	cresta, /ɛ/ aberto
gesto	*	open_close_vowel	0	ʒ ɛ s|t u	gesto, /ɛ/ aberto
resto	*	open_close_vowel	0	ʁ ɛ s|t u	resto, /ɛ/ aberto
texto	*	open_close_vowel	0	t ɛ s|t u	texto, /ɛ/ aberto
sexto	*	open_close_vowel	0	s ɛ s|t u	sexto, /ɛ/ aberto
ferro	*	open_close_vowel	0	f ɛ|ʁ u	ferro, /ɛ/ aberto
cerco	*	open_close_vowel	0	s ɛ ɾ|k u	cerco, /ɛ/ aberto
nervo	*	open_close_vowel	0	n ɛ ɾ|v u	nervo, /ɛ/ aberto
verso	*	open_close_vowel	0	v ɛ ɾ|s u	verso, /ɛ/ aberto
berco	*	open_close_vowel	0	b ɛ ɾ|s u	berco, /ɛ/ aberto
erva	*	open_close_vowel	0	ɛ ɾ|v ɐ	erva, /ɛ/ aberto
perda	*	open_close_vowel	0	p ɛ ɾ|d ɐ	perda, /ɛ/ aberto
certo	*	open_close_vowel	0	s ɛ ɾ|t u	certo, /ɛ/ aberto
aberto	*	open_close_vowel	1	a|b ɛ ɾ|t u	aberto, /ɛ/ aberto
oferta	*	open_close_vowel	1	o|f ɛ ɾ|t ɐ	oferta, /ɛ/ aberto
conversa	*	open_close_vowel	1	k õ|v ɛ ɾ|s ɐ	conversa, /ɛ/ aberto
# --- /e/ 閉母音 e 系列 ---
dedo	*	open_close_vowel	0	d e|d u	dedo, /e/ fechado
peso	*	open_close_vowel	0	p e|z u	peso, /e/ fechado
medo	*	open_close_vowel	0	m e|d u	medo, /e/ fechado
pelo	*	open_close_vowel	0	p e|l u	pelo (cabelo), /e/ fechado
selo	*	open_close_vowel	0	s e|l u	selo (verbo selar 1sg), /e/ fechado
mesa	*	open_close_vowel	0	m e|z ɐ	mesa, /e/ fechado
presa	*	open_close_vowel	0	p ɾ e|z ɐ	presa, /e/ fechado
meses	*	open_close_vowel	0	m e|z ɨ s	meses, /e/ fechado
sede	*	open_close_vowel	0	s e|d ɨ	sede (thirst), /e/ fechado
cedo	*	open_close_vowel	0	s e|d u	cedo (verbo), /e/ fechado
