# surface	dialect	category	accent	stress_index	phonemes	source	note
# POLICY: 重子音(geminate)は単一子音表記。スウェーデン語の重子音は先行短母音で表現される（例: gnugga = n ɵ|ɡ a）。
# ===== 機能語 (function_word) =====
jag	*	function_word	0	0	j ɑː	manual	主語代名詞、g脱落（弱形/ja/も存在）
mig	*	function_word	0	0	m ɛ j	manual	目的格、-ig→-ej
dig	*	function_word	0	0	d ɛ j	manual	目的格、-ig→-ej
sig	*	function_word	0	0	s ɛ j	manual	再帰代名詞、-ig→-ej
de	*	function_word	0	0	d ɔ m	manual	三人称複数主格、不規則
dem	*	function_word	0	0	d ɔ m	manual	三人称複数目的格、不規則
det	*	function_word	0	0	d ɛ	manual	それ/冠詞、弱形/dɛ/（語末tは黙字）
den	*	function_word	0	0	d ɛ n	manual	それ/冠詞
och	*	function_word	0	0	ɔ	manual	接続詞、chは黙字
att	*	function_word	0	0	a t	manual	不定詞マーカー/接続詞
är	*	function_word	0	0	ɛː r	manual	vara現在形
var	*	function_word	0	0	v ɑː r	manual	vara過去形
har	*	function_word	0	0	h ɑː r	manual	hava現在形
hade	*	function_word	2	0	h ɑː|d ɛ	manual	hava過去形
kan	*	function_word	0	0	k a n	manual	助動詞
ska	*	function_word	0	0	s k ɑː	manual	未来助動詞
skall	*	function_word	0	0	s k a l	manual	未来助動詞（正式）
vill	*	function_word	0	0	v ɪ l	manual	願望助動詞
inte	*	function_word	2	0	ɪ n|t ɛ	manual	否定副詞
inte	finland	function_word	2	0	ɪ n|t ɛ	manual	否定副詞（フィンランド同形）
hur	*	function_word	0	0	h ʉː r	manual	疑問副詞
vad	*	function_word	0	0	v ɑː d	manual	疑問代名詞
som	*	function_word	0	0	s ɔ m	manual	関係代名詞
där	*	function_word	0	0	d ɛː r	manual	副詞
här	*	function_word	0	0	h ɛː r	manual	副詞
från	*	function_word	0	0	f r ɔː n	manual	前置詞（標準形、長母音）
för	*	function_word	0	0	f øː r	manual	前置詞
med	*	function_word	0	0	m eː d	manual	前置詞（dは弱い）
vid	*	function_word	0	0	v iː d	manual	前置詞
av	*	function_word	0	0	ɑː v	manual	前置詞
till	*	function_word	0	0	t ɪ l	manual	前置詞
på	*	function_word	0	0	p oː	manual	前置詞（標準中央スウェーデン語）
men	*	function_word	0	0	m ɛ n	manual	接続詞
hon	*	function_word	0	0	h ʊ n	manual	三人称女性代名詞
honom	*	function_word	2	0	h ɔ|n ɔ m	manual	三人称男性目的格、不規則母音
han	*	function_word	0	0	h a n	manual	三人称男性代名詞
vi	*	function_word	0	0	v iː	manual	一人称複数代名詞
ni	*	function_word	0	0	n iː	manual	二人称複数代名詞
# ===== フランス語由来外来語 (loanword_fr) =====
chef	*	loanword_fr	1	0	ɧ eː f	manual	ch→sj音
chans	*	loanword_fr	1	0	ɧ a n s	manual	ch→sj音
chock	*	loanword_fr	1	0	ɧ ɔ k	manual	ch→sj音
choklad	*	loanword_fr	2	0	ɧ ʊ k|l ɑː d	manual	ch→sj音
champagne	*	loanword_fr	2	1	ɧ a m|p a n j	manual	ch→sj音
champinjon	*	loanword_fr	2	2	ɧ a m|p ɪ n|j ɔ n	manual	ch→sj音
charkuteri	*	loanword_fr	2	3	ɧ a r|k ʉː|t ɛ|r iː	manual	ch→sj音
chaufför	*	loanword_fr	2	1	ɧ oː|f øː r	manual	ch→sj音
parfym	*	loanword_fr	2	1	p a r|f yː m	manual	仏語由来
garderob	*	loanword_fr	2	2	ɡ a r|d ɛ|r oː b	manual	仏語由来
garage	*	loanword_fr	2	1	ɡ a|r ɑː ɧ	manual	仏語由来、ge→sj音
bagage	*	loanword_fr	2	1	b a|ɡ ɑː ɧ	manual	仏語由来、ge→sj音
massage	*	loanword_fr	2	1	m a|s ɑː ɧ	manual	仏語由来、ge→sj音
detalj	*	loanword_fr	2	1	d ɛ|t a l j	manual	仏語由来
miljö	*	loanword_fr	2	1	m ɪ l|j øː	manual	仏語由来
möbel	*	loanword_fr	2	0	m øː|b ɛ l	manual	仏語由来
paket	*	loanword_fr	2	1	p a|k eː t	manual	仏語由来
bukett	*	loanword_fr	2	1	b ʉː|k ɛ t	manual	仏語由来
kupé	*	loanword_fr	2	1	k ʉː|p eː	manual	仏語由来
refräng	*	loanword_fr	2	1	r ɛ|f r ɛ ŋ	manual	仏語由来
affär	*	loanword_fr	2	1	a|f ɛː r	manual	仏語由来
allé	*	loanword_fr	2	1	a|l eː	manual	仏語由来
armé	*	loanword_fr	2	1	a r|m eː	manual	仏語由来
balkong	*	loanword_fr	2	1	b a l|k ɔ ŋ	manual	仏語由来
bankett	*	loanword_fr	2	1	b a ŋ|k ɛ t	manual	仏語由来
boulevard	*	loanword_fr	2	2	b ʉː|l ɛ|v ɑː r d	manual	仏語由来
butik	*	loanword_fr	2	1	b ʉː|t iː k	manual	仏語由来
dessert	*	loanword_fr	2	1	d ɛ|s ɛː r t	manual	仏語由来
dossier	*	loanword_fr	2	1	d ɔ|s iː ɛ	manual	仏語由来
entré	*	loanword_fr	2	1	a ŋ|t r eː	manual	仏語由来
etage	*	loanword_fr	2	1	ɛ|t ɑː ɧ	manual	仏語由来、ge→sj音
fasad	*	loanword_fr	2	1	f a|s ɑː d	manual	仏語由来
frisör	*	loanword_fr	2	1	f r ɪ|s øː r	manual	仏語由来
interiör	*	loanword_fr	2	2	ɪ n|t ɛ|r iː øː r	manual	仏語由来
kapell	*	loanword_fr	2	1	k a|p ɛ l	manual	仏語由来
kaross	*	loanword_fr	2	1	k a|r ɔ s	manual	仏語由来
kulör	*	loanword_fr	2	1	k ʉː|l øː r	manual	仏語由来
kuvert	*	loanword_fr	2	1	k ʉː|v ɛː r t	manual	仏語由来
porträtt	*	loanword_fr	2	1	p ɔ r|t r ɛ t	manual	仏語由来
restaurang	*	loanword_fr	2	2	r ɛ s|t ɑː|r a ŋ	manual	仏語由来
terräng	*	loanword_fr	2	1	t ɛ|r ɛ ŋ	manual	仏語由来
tournédos	*	loanword_fr	2	2	t ʉː r|n ɛ|d oː	manual	仏語由来
trottoar	*	loanword_fr	2	2	t r ɔ|t ɔ|ɑː r	manual	仏語由来
# ===== 英語由来外来語 (loanword_en) =====
show	*	loanword_en	1	0	ɧ oː	manual	英語sh→sj音
shower	*	loanword_en	2	0	ɧ oː|v ɛ r	manual	英語sh→sj音
team	*	loanword_en	1	0	t iː m	manual	英語由来
